ticket_id,customer_id,ticket_date,issue_type,priority,resolution_time_hours,satisfaction_score
1ef11a27-1c3e-4da4-a89b-4fb2da317fd7,1,2023-04-13,Technical,Low,0.5205780286118122,3
85d4bf0f-0a4f-4e3b-8a22-9ba5925f2cc6,3,2022-10-15,Cancellation Inquiry,Low,4.030076229938551,4
fdb37e45-4e0f-49b9-9f18-7c021e245a97,3,2022-04-30,Billing,Medium,71.38308415161546,2
07298d47-7c65-4dc9-8b42-5bba4da273ed,5,2022-10-18,Technical,Low,4.217659371906724,4
96f19d54-c8a6-4005-a463-463c249316b4,5,2023-09-07,Onboarding,Low,59.63736033777836,1
4e1f39be-e4ed-4295-afd3-7a6d0c746518,9,2022-11-24,Technical,Medium,2.597124431090844,4
d1b22e3c-2ede-4487-b730-58be48924bd6,9,2023-11-22,Billing,High,31.16133299725223,1
8c2b678e-1f50-41aa-8088-b13a7d2194cb,12,2023-07-29,Onboarding,Medium,18.315706823257422,1
6ae63480-0b70-4f97-9ed4-4617114be8ca,13,2022-09-28,Technical,Medium,14.076771469754165,3
73cecf7c-90d5-487e-8f48-9f4592b4002c,14,2023-01-09,Billing,Low,8.12060567365864,3
79a8832f-6097-4a15-8806-82d3567b9583,15,2023-12-01,Cancellation Inquiry,Low,2.8099937104758608,2
21ffcf72-9b0f-4aa7-956c-478fb8541d6a,15,2023-10-11,Onboarding,Low,30.663064155996715,5
75ffe99a-a2ef-4f53-8138-34472376324f,15,2023-08-15,Technical,Medium,1.5667790782214586,3
2623b91a-72f6-4fe1-aace-fa98732e9280,16,2023-08-15,Billing,Low,66.42163602988774,2
ccc07446-16dd-48af-9341-5fe2ba554e35,17,2023-11-04,Technical,Medium,3.35711643211431,1
6321d753-68dd-46fd-9fa3-8f4baa1cd2d8,18,2023-05-01,Onboarding,Medium,42.8953986784755,2
8a7e9cce-56c8-40a5-a538-bf11e6766b0a,18,2022-06-30,Cancellation Inquiry,High,21.89971136411956,2
716ec0b6-e3d9-4e7f-aba2-3511f544b28c,18,2022-02-05,Cancellation Inquiry,Medium,3.842677672287863,5
ddaf2233-16a9-4518-a55a-c92f47020de0,19,2023-07-26,Technical,Low,17.981567995194933,2
a14ed649-926e-402e-8659-8f83b50b9ff8,23,2022-05-09,Cancellation Inquiry,Low,20.65934147997811,4
8fa09a4c-4f10-4ae3-b518-174fc5874243,24,2023-09-11,Onboarding,Medium,79.37781024130665,2
15cc861a-8f31-4f2e-a4d7-8f641fb026cc,25,2023-05-17,Cancellation Inquiry,High,3.1090615232034295,3
93acceb8-8ab5-4799-9e63-638cf485e944,26,2022-05-30,Onboarding,High,25.091940703776693,5
8591a818-91fb-4925-b511-24380d892ced,28,2023-08-12,Onboarding,Medium,20.69064281393362,3
e598e5c2-80ac-4fb5-b9d0-5e2bc0249b51,29,2022-05-28,Billing,Medium,32.51613104082006,3
8827f0b5-efa9-4c7e-a883-5c661ecae0c0,31,2022-01-15,Cancellation Inquiry,Low,16.061528827186695,5
c968e8ee-4663-41a1-84db-73f3f65e52fd,32,2022-05-20,Cancellation Inquiry,Medium,10.708583037088577,5
d6c34b19-b4a3-4c95-9466-99843ecb1bd6,32,2022-06-09,Technical,High,37.82852938728247,2
ce926059-15ab-4cd2-b1b9-05c8945d91a5,33,2023-11-21,Cancellation Inquiry,Low,7.708228920767366,3
96c1b183-66dc-4989-9207-c6cc9b5ad674,33,2023-02-19,Billing,High,6.633610508247585,4
05f4949b-ef10-46cc-9caa-59947dd12d57,33,2022-02-04,Cancellation Inquiry,Medium,7.9324643277425295,4
06289878-6a39-4607-ae35-c5c86fe05fa2,35,2022-09-22,Technical,High,49.814333749000184,4
41d6676a-61cb-48c3-913f-f9a9872491ca,36,2023-10-30,Billing,High,6.9235884176458224,2
8ab20bf4-196d-4dc0-bad3-43521d59598c,37,2022-03-12,Cancellation Inquiry,Low,12.148619030436878,4
